product_category_name,customer_state,total_orders
cama_mesa_banho,SP,5235
beleza_saude,SP,4204
esporte_lazer,SP,3667
moveis_decoracao,SP,3531
utilidades_domesticas,SP,3265
informatica_acessorios,SP,3170
relogios_presentes,SP,2281
automotivo,SP,1747
brinquedos,SP,1712
telefonia,SP,1646
cama_mesa_banho,RJ,1644
ferramentas_jardim,SP,1559
perfumaria,SP,1477
cool_stuff,SP,1364
cama_mesa_banho,MG,1331
bebes,SP,1276
moveis_decoracao,RJ,1090
beleza_saude,MG,1086
papelaria,SP,1064
beleza_saude,RJ,1064
esporte_lazer,RJ,1041
eletronicos,SP,1005
informatica_acessorios,RJ,1002
informatica_acessorios,MG,1000
esporte_lazer,MG,966
moveis_decoracao,MG,949
pet_shop,SP,898
utilidades_domesticas,RJ,877
relogios_presentes,RJ,874
fashion_bolsas_e_acessorios,SP,861
utilidades_domesticas,MG,835
moveis_escritorio,SP,662
ferramentas_jardim,RJ,656
relogios_presentes,MG,637
cama_mesa_banho,RS,614
ferramentas_jardim,MG,608
brinquedos,RJ,585
moveis_decoracao,RS,561
cool_stuff,RJ,523
moveis_decoracao,PR,520
automotivo,MG,513
consoles_games,SP,496
brinquedos,MG,494
esporte_lazer,PR,486
informatica_acessorios,RS,485
telefonia,MG,484
esporte_lazer,RS,475
cama_mesa_banho,PR,468
cool_stuff,MG,459
malas_acessorios,SP,455
perfumaria,RJ,451
automotivo,RJ,442
telefonia,RJ,438
eletronicos,RJ,437
beleza_saude,RS,436
utilidades_domesticas,RS,434
construcao_ferramentas_construcao,SP,428
beleza_saude,PR,425
perfumaria,MG,408
informatica_acessorios,PR,389
bebes,MG,372
esporte_lazer,SC,363
bebes,RJ,359
moveis_decoracao,SC,354
beleza_saude,BA,350
eletrodomesticos,SP,347
utilidades_domesticas,PR,337
papelaria,RJ,331
cama_mesa_banho,SC,330
informatica_acessorios,SC,320
beleza_saude,SC,309
eletroportateis,SP,307
relogios_presentes,PR,307
moveis_escritorio,RJ,306
eletronicos,MG,296
esporte_lazer,BA,293
telefonia,RS,292
ferramentas_jardim,RS,290
alimentos,SP,285
papelaria,MG,273
instrumentos_musicais,SP,269
casa_construcao,SP,268
fashion_bolsas_e_acessorios,MG,265
utilidades_domesticas,SC,264
cama_mesa_banho,BA,263
cool_stuff,RS,262
informatica_acessorios,BA,259
moveis_decoracao,BA,252
pet_shop,MG,250
telefonia,BA,250
telefonia,PR,250
beleza_saude,DF,246
beleza_saude,PE,240
cama_mesa_banho,GO,235
automotivo,PR,234
relogios_presentes,BA,233
relogios_presentes,RS,233
beleza_saude,GO,229
livros_interesse_geral,SP,227
cama_mesa_banho,ES,225
esporte_lazer,DF,224
pet_shop,RJ,218
cool_stuff,PR,215
brinquedos,RS,212
bebidas,SP,211
bebes,RS,209
ferramentas_jardim,PR,209
cama_mesa_banho,DF,209
brinquedos,PR,205
casa_conforto,SP,204
moveis_sala,SP,202
fashion_bolsas_e_acessorios,RJ,200
automotivo,RS,188
relogios_presentes,SC,185
ferramentas_jardim,SC,183
eletronicos,PR,183
malas_acessorios,MG,183
automotivo,SC,182
ferramentas_jardim,BA,178
telefonia,SC,175
esporte_lazer,ES,174
esporte_lazer,GO,167
moveis_escritorio,MG,167
beleza_saude,CE,167
relogios_presentes,PE,165
eletronicos,RS,165
beleza_saude,ES,165
informatica_acessorios,DF,163
bebes,PR,161
utilidades_domesticas,BA,161
cool_stuff,SC,159
automotivo,BA,158
perfumaria,RS,155
utilidades_domesticas,DF,155
perfumaria,PR,153
moveis_decoracao,DF,152
relogios_presentes,ES,152
informatica_acessorios,ES,152
esporte_lazer,PE,149
relogios_presentes,DF,148
papelaria,RS,148
relogios_presentes,GO,147
cool_stuff,BA,146
moveis_decoracao,ES,145
audio,SP,145
moveis_cozinha_area_de_servico_jantar_e_jardim,SP,143
construcao_ferramentas_iluminacao,SP,143
consoles_games,RJ,142
climatizacao,SP,139
relogios_presentes,CE,136
alimentos_bebidas,SP,136
consoles_games,MG,133
utilidades_domesticas,GO,132
telefonia,PE,129
industria_comercio_e_negocios,SP,128
papelaria,PR,128
moveis_decoracao,GO,128
eletronicos,SC,125
informatica_acessorios,GO,124
malas_acessorios,RJ,123
telefonia,GO,123
construcao_ferramentas_construcao,RJ,122
construcao_ferramentas_construcao,MG,121
brinquedos,SC,120
perfumaria,SC,118
ferramentas_jardim,GO,118
fashion_bolsas_e_acessorios,PR,118
brinquedos,BA,117
telefonia_fixa,SP,117
market_place,SP,117
moveis_sala,RJ,117
telefonia,ES,115
utilidades_domesticas,ES,114
livros_tecnicos,SP,113
bebes,SC,113
automotivo,DF,110
eletronicos,BA,108
beleza_saude,PA,107
informatica_acessorios,PE,106
ferramentas_jardim,ES,104
pet_shop,RS,99
construcao_ferramentas_jardim,SP,99
automotivo,GO,99
cool_stuff,GO,99
telefonia,CE,99
artes,SP,99
moveis_decoracao,PE,98
brinquedos,DF,97
brinquedos,ES,97
bebes,BA,97
sinalizacao_e_seguranca,SP,95
agro_industria_e_comercio,SP,95
papelaria,SC,94
telefonia,DF,94
perfumaria,GO,93
esporte_lazer,CE,93
informatica_acessorios,CE,93
cama_mesa_banho,PE,93
moveis_escritorio,PR,92
moveis_escritorio,BA,92
fashion_calcados,SP,91
pet_shop,PR,91
informatica_acessorios,PA,90
beleza_saude,MT,90
beleza_saude,MA,89
eletrodomesticos_2,SP,89
perfumaria,DF,88
eletroportateis,RJ,88
moveis_decoracao,CE,87
automotivo,ES,87
automotivo,PE,86
eletrodomesticos,MG,86
pet_shop,SC,85
esporte_lazer,PA,85
eletrodomesticos,RJ,83
brinquedos,GO,83
cama_mesa_banho,CE,83
perfumaria,BA,81
instrumentos_musicais,RJ,80
cool_stuff,DF,80
fashion_bolsas_e_acessorios,RS,80
instrumentos_musicais,MG,80
cool_stuff,PE,79
fashion_bolsas_e_acessorios,SC,79
eletronicos,ES,79
beleza_saude,PB,78
papelaria,BA,77
telefonia,PA,77
fashion_bolsas_e_acessorios,BA,77
esporte_lazer,MT,76
relogios_presentes,PA,76
moveis_decoracao,MT,75
esporte_lazer,MS,75
informatica_acessorios,MA,73
casa_construcao,RJ,72
moveis_decoracao,PA,71
cama_mesa_banho,MT,70
bebes,DF,69
climatizacao,RJ,69
moveis_escritorio,RS,68
perfumaria,ES,68
esporte_lazer,MA,66
cool_stuff,ES,66
construcao_ferramentas_seguranca,SP,66
eletroportateis,MG,66
brinquedos,CE,66
telefonia,MT,66
telefonia,MA,65
beleza_saude,MS,65
moveis_decoracao,MS,65
ferramentas_jardim,PE,65
brinquedos,PE,64
cama_mesa_banho,MS,64
beleza_saude,AL,63
informatica_acessorios,MS,63
casa_construcao,MG,63
moveis_escritorio,SC,62
bebes,ES,62
pet_shop,BA,62
casa_conforto,RJ,61
consoles_games,RS,61
relogios_presentes,MA,61
relogios_presentes,MT,61
utilidades_domesticas,PE,60
ferramentas_jardim,DF,60
automotivo,CE,59
utilidades_domesticas,CE,59
pcs,SP,59
audio,RJ,58
beleza_saude,RN,58
casa_conforto,MG,57
fashion_roupa_masculina,SP,57
perfumaria,CE,57
livros_interesse_geral,RJ,57
automotivo,MT,56
ferramentas_jardim,CE,56
malas_acessorios,RS,56
fashion_underwear_e_moda_praia,SP,55
informatica_acessorios,MT,55
bebidas,RJ,55
bebes,GO,54
beleza_saude,PI,54
livros_interesse_geral,MG,54
informatica_acessorios,PB,54
ferramentas_jardim,MT,53
moveis_quarto,SP,52
utilidades_domesticas,MT,52
alimentos_bebidas,RJ,52
malas_acessorios,PR,51
eletronicos,DF,51
construcao_ferramentas_construcao,PR,51
cool_stuff,CE,51
automotivo,PA,51
papelaria,GO,50
papelaria,ES,50
perfumaria,PE,50
fashion_bolsas_e_acessorios,ES,50
artigos_de_natal,SP,50
relogios_presentes,RN,49
cool_stuff,PA,49
papelaria,DF,48
moveis_decoracao,MA,48
moveis_sala,MG,48
papelaria,PE,48
moveis_cozinha_area_de_servico_jantar_e_jardim,RJ,47
consoles_games,PR,47
